# ID,name,RA,dec,mag
181,,0.038253,60.703168,6.770
182,,0.038746,52.586407,8.550
183,,0.038867,-29.720414,5.040
184,,0.039318,11.006236,8.480
185,,0.039336,10.785363,8.530
186,,0.040046,8.956824,6.330
187,,0.040152,-6.059270,8.990
188,,0.040179,6.333013,8.640
189,,0.040350,54.135139,9.550
190,,0.040362,10.776364,8.740
191,,0.040850,-46.028896,12.430
192,,0.041322,8.393859,8.160
193,,0.041447,-39.212591,9.460
194,,0.041584,8.485463,5.700
195,,0.041718,47.422890,7.620
196,,0.041800,51.829976,8.950
197,,0.042154,42.147779,8.970
198,,0.042183,15.335173,8.940
199,,0.042334,16.256565,7.240
200,,0.042366,-33.992633,10.320
201,,0.042619,18.683407,8.240
202,,0.042783,54.552139,8.620
203,,0.042819,-15.831251,9.180
204,,0.043012,-43.947929,8.530
205,,0.043043,-5.186651,8.540
206,,0.043120,18.836044,8.560
207,,0.043332,-67.634287,9.410
208,,0.043357,66.098966,5.870
209,,0.044012,66.100399,7.200
210,,0.044143,-8.487955,9.050
211,,0.044214,-37.947721,9.520
212,,0.044233,-29.075247,10.240
213,,0.044464,51.472401,7.700
214,,0.044611,28.542221,8.170
215,,0.044959,82.973202,7.290
216,,0.044967,75.036211,9.260
217,,0.045126,42.920649,7.940
218,,0.045312,-57.633670,8.420
219,,0.046020,6.034400,8.560
220,,0.046118,35.815467,7.520
221,,0.046222,80.282283,7.740
222,,0.046298,-40.983229,8.850
223,,0.046417,3.860416,9.010
224,,0.046437,2.130155,7.170
225,,0.046674,-15.040543,9.040
226,,0.046696,-24.945298,10.300
227,,0.046952,80.286579,9.860
228,,0.047350,28.251905,7.640
229,,0.047599,47.252268,8.270
230,,0.047724,30.336542,8.440
231,,0.048240,-58.781398,9.580
232,,0.048674,-30.149773,8.430
233,,0.048797,71.358516,8.490
234,,0.048906,70.238000,9.640
235,,0.049098,71.368030,9.170
236,,0.049191,-0.893874,8.090
237,,0.049284,-39.527412,9.000
238,,0.049301,-20.045882,6.250
239,,0.049546,3.381932,8.560
240,,0.049582,9.795231,10.810
241,,0.050135,9.138279,8.760
242,,0.050148,-34.743939,7.760
243,,0.050224,-60.691901,7.820
244,,0.050591,39.995144,7.900
245,,0.050916,-7.815517,8.520
246,,0.050941,56.733298,9.730
247,,0.051029,8.261293,9.190
248,,0.051044,8.270683,8.100
249,,0.051615,31.870083,8.750
250,,0.051620,52.465128,8.140
251,,0.051689,-25.261114,8.650
252,,0.051975,29.485979,10.300
253,,0.052181,-24.145145,6.460
254,,0.052317,42.747908,6.730
255,,0.052977,-24.588258,7.960
256,,0.053107,54.515774,9.530
257,,0.053537,-31.212384,8.870
258,,0.053698,17.552268,6.590
259,,0.053727,48.722294,8.650
260,,0.054478,-55.405070,9.640
261,,0.054702,-23.615434,9.150
262,,0.055061,32.845864,9.040
263,,0.055279,4.686928,12.040
264,,0.055472,38.244012,8.420
265,,0.055689,-11.945367,8.090
266,,0.055692,-64.476095,9.060
267,,0.055690,-4.145757,8.090
268,,0.056120,59.078605,8.180
269,,0.056135,23.575034,8.770
270,,0.056667,73.174497,7.360
271,,0.056855,-35.965164,9.160
272,,0.057037,-26.415185,8.820
273,,0.057124,-46.830972,11.140
274,,0.057143,63.640520,6.240
275,,0.057174,-29.000663,9.440
276,,0.057203,20.665530,7.490
277,,0.057297,-36.251193,6.960
278,,0.057541,55.550900,7.940
279,,0.057585,62.357806,8.690
280,,0.057749,53.312689,8.150
281,,0.058413,55.059961,8.450
282,,0.058428,19.381496,7.920
283,,0.058475,12.356821,7.450
284,,0.058560,-65.827505,9.010
285,,0.058721,-35.602230,8.550
286,,0.058756,78.717826,9.230
287,,0.059057,-13.227292,9.160
288,,0.059267,42.352106,7.900
289,,0.060158,-51.809100,8.680
290,,0.060289,-31.094137,7.780
291,,0.060305,-28.417137,8.210
292,,0.060582,70.306028,8.110
293,,0.061064,-57.164462,8.290
294,,0.061140,3.906973,7.890
295,,0.061246,-41.095885,9.670
296,,0.061517,-28.396196,8.240
297,,0.061626,48.436907,6.800
298,,0.061801,13.365166,8.180
299,,0.062250,-63.600667,8.440
