# ID,name,RA,dec,mag
33722,,7.019075,53.092254,9.000
33723,,7.019404,11.774604,6.770
33724,,7.019538,-38.423392,8.800
33725,,7.019632,-30.664765,7.410
33726,,7.019875,-73.552452,7.800
33727,,7.020065,-27.687427,8.110
33728,,7.020167,29.216948,7.620
33729,,7.020480,-25.948716,6.710
33730,,7.020447,54.856682,6.920
33731,,7.020644,15.913773,10.130
33732,,7.020818,0.010534,7.570
33733,,7.020953,-20.572586,8.820
33734,,7.020966,35.845337,9.430
33735,,7.021225,-2.155189,8.660
33736,,7.021393,32.414562,6.550
33737,,7.021670,55.330490,9.930
33738,,7.021749,-50.466716,7.250
33739,,7.022461,-48.099917,9.740
33740,,7.022612,70.808296,5.690
33741,,7.022672,-25.206045,9.330
33742,,7.022851,-23.190056,8.340
33743,,7.023232,-75.620926,8.870
33744,,7.023306,26.294712,9.310
33745,,7.023315,8.631551,8.520
33746,,7.023478,27.380265,8.150
33747,,7.023580,-2.154393,9.960
33748,,7.024180,-3.117580,7.700
33749,,7.024182,51.754881,8.150
33750,,7.024226,-3.111308,9.360
33751,,7.024805,-19.200341,8.540
33752,,7.024855,-6.938891,7.970
33753,,7.024850,-37.159874,9.700
33754,,7.025047,-22.562726,9.860
33755,,7.025453,-25.534004,8.740
33756,,7.025467,39.806820,10.330
33757,,7.025570,-27.859346,7.750
33758,,7.025874,-35.348109,7.610
33759,,7.026002,-27.222944,6.950
33760,,7.026356,-54.591805,9.100
33761,,7.026545,6.926842,8.160
33762,,7.026698,-33.358835,8.530
33763,,7.026747,-18.131585,9.410
33764,,7.026910,6.408005,11.880
33765,,7.027341,48.378672,7.980
33766,,7.027667,-23.501429,6.730
33767,,7.028179,4.818096,6.640
33768,,7.028329,25.567211,8.480
33769,,7.028652,-27.934830,3.490
33770,,7.028980,-63.619722,8.070
33771,,7.029224,69.646419,6.640
33772,,7.029318,17.975346,7.580
33773,,7.029457,-70.566426,8.190
33774,,7.029468,20.054816,8.000
33775,,7.029551,-0.368296,9.310
33776,,7.029687,-56.621423,7.700
33777,,7.029781,-35.547919,6.580
33778,,7.029942,-23.459063,7.650
33779,,7.030070,1.114848,9.610
33780,,7.030081,-27.702144,8.290
33781,,7.030420,-11.300924,6.540
33782,,7.030533,-10.882364,6.640
33783,,7.030932,-45.801294,8.020
33784,,7.031273,-15.384731,7.820
33785,,7.031366,-1.345883,6.200
33786,,7.031561,-1.130958,8.670
33787,,7.032017,5.557155,6.590
33788,,7.032205,47.108532,8.290
33789,,7.032309,0.827756,10.760
33790,,7.032329,-5.722065,5.220
33791,,7.032442,-40.397547,9.330
33792,,7.032481,63.676926,6.610
33793,,7.032536,-17.644326,7.280
33794,,7.032745,-26.275904,9.640
33795,,7.032998,-26.503809,8.210
33796,,7.033298,8.533621,8.950
33797,,7.033673,44.448970,6.910
33798,,7.033823,-57.602012,8.140
33799,,7.034044,-57.315769,7.320
33800,,7.034306,-26.567875,9.180
33801,,7.034693,-9.886900,7.800
33802,,7.034869,21.798086,7.930
33803,,7.035203,-3.754834,6.580
33804,,7.035263,-50.429941,7.590
33805,,7.035335,25.425605,7.050
33806,,7.035442,-6.022381,6.840
33807,,7.035497,-65.560847,9.020
33808,,7.035626,-46.433342,9.810
33809,,7.035751,-12.504575,8.060
33810,,7.035827,49.836698,8.280
33811,,7.036046,-48.092279,8.820
33812,,7.036117,-48.993846,8.200
33813,,7.036406,65.751468,7.840
33814,,7.036533,-55.440223,8.270
33815,,7.036767,37.723422,9.360
33816,,7.036767,-14.362224,8.630
33817,,7.036815,-9.210385,8.240
33818,,7.037075,20.828210,7.830
33819,,7.037190,-53.723040,9.370
33820,,7.037629,50.076941,7.930
33821,,7.037633,-43.403870,6.440
33822,,7.037777,12.577531,8.770
33823,,7.037929,22.096172,7.360
33824,,7.037992,-41.611179,9.050
33825,,7.038072,51.568048,7.510
33826,,7.038193,15.336008,5.780
33827,,7.038261,27.751521,10.780
33828,,7.038428,31.239158,8.470
33829,,7.038443,-14.386866,8.630
33830,,7.038453,12.581730,7.280
33831,,7.038737,38.965742,11.340
33832,,7.038940,-28.281518,8.220
33833,,7.039015,25.364436,7.370
33834,,7.039059,-42.632463,7.010
33835,,7.039155,28.915015,11.150
33836,,7.039734,-26.750270,9.830
33837,,7.039765,7.035496,8.640
33838,,7.039800,19.229883,8.870
33839,,7.040217,24.215446,5.200
33840,,7.040370,-50.067093,8.090
33841,,7.040426,17.755521,5.960
33842,,7.041148,-38.059063,7.940
33843,,7.041177,53.383771,7.470
33844,,7.041267,79.164406,8.310
33845,,7.041376,-14.677043,10.510
33846,,7.041369,3.498761,8.240
33847,,7.041410,-24.876832,9.590
33848,,7.042281,41.635616,8.260
33849,,7.042580,16.674447,5.860
33850,,7.042806,50.651365,8.170
33851,,7.043303,-19.769017,7.840
33852,,7.043460,31.565225,10.170
33853,,7.043725,15.973931,8.240
33854,,7.043826,-62.570953,9.740
33855,,7.043951,33.207124,9.620
33856,,7.043957,13.782946,8.520
33857,,7.044202,31.339992,7.800
33858,,7.044226,-62.574511,12.120
33859,,7.044380,10.082816,8.630
33860,,7.044562,-13.189760,7.850
33861,,7.044653,69.208212,7.330
33862,,7.044785,-47.335502,9.990
33863,,7.044815,-17.581496,7.450
33864,,7.045074,84.662865,7.350
33865,,7.045171,-11.453210,8.090
33866,,7.045255,-6.799226,8.380
33867,,7.045292,45.957426,7.660
33868,,7.045415,63.946607,9.000
33869,,7.046046,-49.927978,6.860
33870,,7.046092,42.564013,8.660
33871,,7.046160,-8.452364,7.840
33872,,7.046740,-13.095849,7.780
33873,,7.047044,-16.699365,6.770
33874,,7.047185,22.119675,9.020
33875,,7.047187,-8.313510,9.110
33876,,7.047210,-20.324288,9.450
33877,,7.047365,13.089363,7.500
33878,,7.047582,61.307741,7.910
33879,,7.047981,-8.161847,9.070
33880,,7.048003,-45.751611,8.130
33881,,7.048489,-24.583116,7.140
33882,,7.048549,-4.239231,4.990
33883,,7.048585,-8.299084,9.300
33884,,7.048635,-13.217803,7.660
33885,,7.049839,11.726390,8.630
33886,,7.049893,-18.335888,8.140
33887,,7.050317,54.048721,8.160
33888,,7.050409,-23.833291,3.020
33889,,7.050514,-24.232750,7.440
33890,,7.050625,-11.117110,8.890
33891,,7.050865,-15.719794,9.480
33892,,7.051162,-20.752797,8.670
33893,,7.051350,38.142253,9.460
33894,,7.051367,43.420403,9.020
33895,,7.051434,-40.357546,7.470
33896,,7.051525,54.174069,7.420
33897,,7.051843,62.673642,8.580
33898,,7.052159,-11.199171,7.880
33899,,7.052170,3.225471,8.140
33900,,7.052718,33.578092,9.890
33901,,7.052843,-70.541622,7.800
33902,,7.052843,-21.439906,8.520
33903,,7.052950,21.174820,7.680
33904,,7.053230,-66.889130,7.660
33905,,7.053580,-45.024596,9.340
33906,,7.053580,9.023461,7.180
33907,,7.053947,57.930009,7.120
33908,,7.053946,-11.137404,8.010
33909,,7.053951,14.336102,7.150
33910,,7.054195,-59.178109,5.500
33911,,7.054231,22.423401,8.820
33912,,7.054587,46.120159,9.000
33913,,7.054977,9.138355,5.960
33914,,7.055081,-5.737648,9.480
33915,,7.055134,-9.559927,8.530
33916,,7.056564,0.343983,7.320
33917,,7.056834,-52.425341,6.530
33918,,7.057051,-3.025356,7.490
33919,,7.057078,-35.319899,9.480
33920,,7.057271,-35.319518,8.800
33921,,7.057426,-4.266397,7.430
33922,,7.057490,-37.205252,9.640
33923,,7.058052,18.369947,8.270
33924,,7.058168,-74.487453,9.290
33925,,7.058218,72.810060,8.320
33926,,7.058234,-55.948246,7.300
33927,,7.058269,19.222077,7.530
33928,,7.058457,29.337081,5.930
33929,,7.058499,-45.206371,9.410
33930,,7.058803,-77.943135,8.210
33931,,7.058821,47.913630,8.060
33932,,7.058991,25.093721,7.880
33933,,7.059045,-78.782457,8.670
33934,,7.059261,-28.838997,9.110
33935,,7.059314,71.758128,7.150
33936,,7.059434,39.675881,9.580
33937,,7.059603,2.437314,6.990
33938,,7.059784,-6.918826,8.140
33939,,7.059801,-39.964627,8.070
33940,,7.060025,49.121770,8.130
33941,,7.060235,27.005502,8.460
33942,,7.060320,-32.981711,8.300
33943,,7.060326,-2.474172,7.210
33944,,7.060576,10.951817,5.140
33945,,7.060580,17.858375,10.500
33946,,7.060612,-71.999315,8.880
33947,,7.060686,36.795919,8.570
33948,,7.060774,-29.017958,8.710
33949,,7.061009,10.770296,7.390
33950,,7.061571,-0.556951,7.200
33951,,7.061632,0.095272,8.620
33952,,7.061920,-25.083914,6.860
33953,,7.061989,-11.551725,9.840
33954,,7.062005,33.893383,7.470
33955,,7.062476,-24.310855,8.300
33956,,7.062637,-15.633286,4.110
33957,,7.062774,47.259256,7.720
33958,,7.062815,67.457004,7.750
33959,,7.063172,-25.653391,7.970
33960,,7.063198,-1.099645,8.890
33961,,7.063787,-50.454915,8.760
33962,,7.063916,-29.387492,9.170
33963,,7.063959,-43.561317,8.670
33964,,7.063969,-41.206905,7.560
33965,,7.063997,-26.642136,9.170
33966,,7.064333,12.594242,6.010
33967,,7.064530,5.860908,8.360
33968,,7.064620,-46.417327,9.060
33969,,7.064663,16.182258,8.280
33970,,7.064855,-13.096981,7.070
33971,,7.064896,-49.583920,4.920
33972,,7.065118,-50.661352,7.190
33973,,7.065169,25.419602,8.350
33974,,7.065568,-34.267150,8.020
33975,,7.065704,42.233316,8.930
33976,,7.065926,34.682229,8.990
33977,,7.065928,-43.608039,5.560
33978,,7.065960,-10.123765,6.440
33979,,7.066121,-27.505637,8.240
33980,,7.066213,40.582192,6.970
33981,,7.066373,-43.611319,6.830
33982,,7.066393,47.049958,6.990
33983,,7.066650,-36.360318,9.870
33984,,7.066681,-4.623507,7.440
33985,,7.066720,24.231055,8.520
33986,,7.066887,-21.773108,8.420
33987,,7.067094,76.742164,9.260
33988,,7.067098,8.249871,7.810
33989,,7.067230,1.897898,8.070
33990,,7.067301,5.131974,7.310
33991,,7.067395,-12.288158,7.440
33992,,7.067398,51.285912,7.280
33993,,7.067444,-42.337280,5.200
33994,,7.067490,71.194875,9.340
33995,,7.067650,36.313511,6.700
33996,,7.067730,-82.112372,9.500
33997,,7.067801,75.227539,7.150
33998,,7.068124,-5.323979,5.630
33999,,7.068284,75.230555,8.240
34000,,7.068481,20.570297,4.010
34001,,7.068566,45.063359,7.800
34002,,7.068771,-37.426304,8.810
34003,,7.068861,0.027557,8.300
34004,,7.069084,-64.489963,7.480
34005,,7.069249,-31.804082,9.620
34006,,7.069315,18.668802,7.310
34007,,7.069567,5.212952,9.080
34008,,7.069874,79.169574,8.880
34009,,7.070033,-15.326842,8.390
34010,,7.070201,42.620551,10.810
34011,,7.070435,-21.266030,7.640
34012,,7.070646,-2.101487,8.410
34013,,7.070851,75.411274,6.990
34014,,7.071174,1.507453,7.650
34015,,7.071416,37.563966,6.620
34016,,7.071586,-10.508814,10.950
34017,,7.071757,-56.749724,5.140
34018,,7.072110,4.023940,7.350
34019,,7.072271,1.488491,6.570
34020,,7.072359,-30.774899,7.920
34021,,7.072472,-39.919803,8.450
34022,,7.072471,-3.050674,8.170
34023,,7.072799,-9.104793,8.210
34024,,7.072955,4.572093,7.460
34025,,7.073617,-43.736269,8.070
34026,,7.073647,68.895943,8.100
34027,,7.073777,68.288802,11.950
34028,,7.073759,-10.454372,6.970
34029,,7.074177,-21.137478,11.080
34030,,7.074199,-42.778708,8.550
34031,,7.074429,-75.231321,8.250
34032,,7.075001,41.617050,9.760
34033,,7.075200,8.248494,7.850
34034,,7.075375,-60.467285,9.080
34035,,7.075514,-17.408268,8.720
34036,,7.075815,73.427880,7.600
34037,,7.075961,-58.829722,8.280
34038,,7.076423,-68.248545,8.310
34039,,7.076588,-32.008047,7.820
34040,,7.076761,17.043775,8.660
34041,,7.076834,3.128528,8.870
34042,,7.076976,18.723881,8.620
34043,,7.077190,38.982038,9.420
34044,,7.077250,-81.499660,8.670
34045,,7.077306,-11.524061,7.220
34046,,7.077710,-43.581481,8.330
34047,,7.077829,-8.845865,8.350
34048,,7.077881,35.579283,8.580
34049,,7.078157,-40.484005,7.100
34050,,7.079015,-31.945453,7.350
34051,,7.079035,-27.147949,9.410
34052,,7.079192,35.530519,7.810
34053,,7.079252,36.600243,7.890
34054,,7.079736,-22.031688,6.090
34055,,7.080079,13.238659,9.090
34056,,7.080085,6.655760,8.640
34057,,7.080289,30.285347,9.620
34058,,7.080390,-16.284806,8.050
34059,,7.080491,-49.823276,9.180
34060,,7.080825,75.666465,9.160
34061,,7.081208,-13.147351,9.000
34062,,7.081218,37.770124,8.950
34063,,7.081507,1.564499,8.900
34064,,7.081559,-20.830088,6.890
34065,,7.081716,-26.610787,9.070
34066,,7.081943,72.669341,8.850
34067,,7.082818,-33.496541,8.550
34068,,7.082839,-5.799244,8.640
34069,,7.082852,12.094600,9.310
34070,,7.082941,39.121182,9.850
34071,,7.083040,-8.450914,9.010
34072,,7.083120,30.362339,7.290
34073,,7.083392,-31.526061,7.740
34074,,7.083848,14.228249,8.280
34075,,7.084297,-23.937743,9.750
34076,,7.084478,1.397355,8.470
34077,,7.084876,-20.202472,7.010
34078,,7.085026,-21.450176,6.680
34079,,7.085265,-25.100565,8.280
34080,,7.085827,70.645106,8.930
34081,,7.085830,47.775044,6.370
34082,,7.086161,-0.865564,7.770
34083,,7.086645,71.458941,8.870
34084,,7.087479,19.824611,8.820
34085,,7.087590,7.208849,8.740
34086,,7.087672,55.707920,8.160
34087,,7.087744,-19.854226,9.210
34088,,7.087753,-16.520546,8.700
34089,,7.087883,-50.360042,6.470
34090,,7.087985,-12.326247,7.980
34091,,7.088048,-34.143348,7.500
34092,,7.088072,23.167359,8.840
34093,,7.088371,7.209659,8.780
34094,,7.088436,22.637458,6.000
34095,,7.089307,0.895749,8.500
34096,,7.089363,-52.609519,7.710
34097,,7.089401,-8.133171,7.140
34098,,7.089453,-59.391209,8.820
34099,,7.089464,-30.519801,8.600
34100,,7.089576,2.260710,8.700
34101,,7.089638,11.301275,8.860
34102,,7.089748,-50.058070,9.010
34103,,7.090031,-52.609748,11.230
34104,,7.090039,-38.233922,7.800
34105,,7.090438,-14.246059,10.810
34106,,7.091100,-61.402463,8.270
34107,,7.091448,-29.069397,8.340
34108,,7.091525,-54.120099,8.160
34109,,7.091940,-47.702966,8.550
34110,,7.092092,40.338770,8.770
34111,,7.092165,-23.214568,8.740
34112,,7.092229,-34.777700,6.150
34113,,7.092425,-40.640397,6.730
34114,,7.092479,-38.673441,8.350
34115,,7.092512,29.516192,8.330
34116,,7.092555,-14.872051,7.680
34117,,7.092670,-33.367443,9.060
34118,,7.092940,46.668271,8.400
34119,,7.092966,14.473112,7.060
34120,,7.093070,-48.840065,9.230
34121,,7.093078,-51.384052,8.860
34122,,7.093117,13.709757,7.790
34123,,7.093226,-16.693463,8.170
34124,,7.093660,-71.272284,7.670
34125,,7.093783,-11.157264,9.380
34126,,7.093979,3.949430,7.840
34127,,7.094174,9.185800,5.780
34128,,7.094358,-37.629524,8.710
34129,,7.094391,52.758558,6.170
34130,,7.094757,20.995833,7.800
34131,,7.094879,-20.792642,8.440
34132,,7.094892,-27.295567,8.760
34133,,7.095025,-12.811841,7.300
34134,,7.095069,27.470831,10.140
34135,,7.095279,-36.717268,8.750
34136,,7.095453,74.376844,9.860
34137,,7.095544,-1.511542,9.150
34138,,7.096126,-25.007842,8.400
34139,,7.096175,23.275144,8.340
34140,,7.096458,31.393279,6.640
34141,,7.096559,15.022604,9.440
34142,,7.096733,11.224088,7.720
34143,,7.096896,-13.823241,7.860
34144,,7.097122,-10.660080,6.500
34145,,7.097173,83.612150,8.810
34146,,7.097375,-8.807077,8.160
34147,,7.097431,17.428522,9.090
34148,,7.097676,70.731924,6.490
34149,,7.097992,-1.020465,7.260
34150,,7.098005,38.600563,9.060
34151,,7.098832,15.181466,7.030
34152,,7.099110,39.862211,8.950
34153,,7.099155,19.753137,9.180
34154,,7.099347,36.573001,6.880
34155,,7.099369,-63.115721,9.710
34156,,7.099383,-42.327509,7.210
34157,,7.099657,33.742458,7.470
34158,,7.100135,-30.655711,6.340
34159,,7.100219,-36.420014,8.390
34160,,7.100340,59.801850,6.400
34161,,7.100446,-28.321267,10.270
34162,,7.100572,-42.312406,8.740
34163,,7.100629,-38.382854,6.090
34164,,7.100654,-39.867629,8.720
34165,,7.100684,5.516712,8.610
34166,,7.100856,-64.082577,8.870
34167,,7.100910,44.863992,7.810
34168,,7.101398,13.985785,7.440
34169,,7.101475,6.119750,8.100
34170,,7.101481,45.630024,9.410
34171,,7.101536,-45.968835,7.440
34172,,7.102058,-12.952200,8.260
34173,,7.102874,-9.281614,8.610
34174,,7.102999,28.191981,7.680
34175,,7.103076,37.335201,9.290
34176,,7.103221,24.860146,6.890
34177,,7.103222,34.473967,5.550
34178,,7.103463,53.616935,8.840
34179,,7.103871,-47.587185,10.540
34180,,7.103974,-68.837580,6.470
34181,,7.104669,22.683489,8.250
34182,,7.104724,10.267117,8.690
34183,,7.104837,17.744402,7.190
34184,,7.105656,62.844206,8.040
34185,,7.105747,-37.709600,7.500
34186,,7.105814,-43.610751,6.520
34187,,7.106007,-49.796183,8.900
34188,,7.106144,43.830930,11.120
34189,,7.106161,-7.311504,9.810
34190,,7.106427,-74.390471,10.090
34191,,7.107598,-25.469902,8.830
34192,,7.107650,-35.043107,9.300
34193,,7.107683,-3.115744,7.600
34194,,7.108018,61.543416,10.540
34195,,7.108055,-57.458088,9.530
34196,,7.108100,39.757415,9.400
34197,,7.108465,-11.537881,8.680
34198,,7.108532,-57.778451,7.710
34199,,7.108763,-53.898820,8.710
34200,,7.108788,-4.934961,8.220
34201,,7.109136,-59.996818,7.920
34202,,7.109179,6.140990,8.250
34203,,7.109410,-48.250757,9.030
34204,,7.109568,64.420113,8.390
34205,,7.109637,-22.014712,7.330
34206,,7.109901,76.171544,7.760
34207,,7.109990,-12.393949,6.480
34208,,7.110073,-61.459805,8.980
34209,,7.110084,-4.623474,9.610
34210,,7.110134,19.109306,7.550
34211,,7.111324,-11.294014,5.410
34212,,7.111469,-14.501745,12.650
34213,,7.112397,-30.001511,9.710
34214,,7.112480,28.214752,8.400
34215,,7.112533,-44.799164,8.950
34216,,7.112559,-15.657011,10.600
34217,,7.112760,-51.303184,8.570
34218,,7.113174,-67.016230,7.300
34219,,7.113199,0.388951,9.600
34220,,7.113323,-58.380970,8.740
34221,,7.113942,32.789492,8.270
34222,,7.113987,36.780717,9.500
34223,,7.114003,-2.747940,8.120
34224,,7.114136,-24.380254,9.950
34225,,7.114332,41.309879,8.790
34226,,7.114445,-10.048433,9.480
34227,,7.114475,23.968957,10.130
34228,,7.114577,-24.960572,6.090
34229,,7.114785,-64.004085,9.070
34230,,7.114819,55.189458,8.340
34231,,7.114892,62.547192,8.120
34232,,7.115347,-45.051248,8.670
34233,,7.115421,32.453278,8.500
34234,,7.115509,56.635222,8.970
34235,,7.115676,-11.327342,7.620
34236,,7.115688,-7.557368,7.860
34237,,7.115993,13.402864,7.780
34238,,7.116013,62.549322,9.340
34239,,7.116399,42.867475,8.700
34240,,7.116484,-5.471643,7.320
34241,,7.116664,-26.656754,6.610
34242,,7.116716,-18.943402,9.080
34243,,7.116906,49.471192,7.740
34244,,7.117371,-55.770993,9.340
34245,,7.117453,-25.780864,7.310
34246,,7.118173,41.959604,8.520
34247,,7.118226,9.879305,7.890
34248,,7.118464,4.910582,6.100
34249,,7.118633,-40.893268,5.800
34250,,7.119221,32.109310,9.310
34251,,7.119252,3.447424,9.840
34252,,7.119332,-29.539545,7.350
34253,,7.119476,54.581921,9.260
34254,,7.119527,-12.362476,8.300
34255,,7.119598,45.395713,8.910
34256,,7.119851,-9.111080,9.350
34257,,7.119854,-40.537752,7.990
34258,,7.120124,-16.601812,9.780
34259,,7.120359,-51.968283,5.960
34260,,7.121189,-59.716416,6.460
34261,,7.121368,24.168437,6.730
34262,,7.121573,-20.284855,8.090
34263,,7.121705,-34.438782,8.830
34264,,7.121727,-5.297885,9.630
34265,,7.122413,-9.583221,8.330
34266,,7.122576,22.703538,7.530
34267,,7.122691,-9.985140,7.020
34268,,7.122889,34.009288,5.940
34269,,7.122941,-23.840722,5.750
34270,,7.122941,35.532954,9.390
34271,,7.123031,-21.457587,11.110
34272,,7.123017,51.798690,8.680
34273,,7.123095,-1.536848,8.760
34274,,7.123225,-14.051872,8.000
34275,,7.123365,-63.962885,10.190
34276,,7.123413,47.097614,9.260
34277,,7.123577,28.176695,6.470
34278,,7.123715,-13.447876,8.910
34279,,7.123909,20.517058,8.310
34280,,7.124394,-52.204550,6.600
34281,,7.124412,-25.603513,8.230
34282,,7.124946,18.332264,8.990
34283,,7.125766,-43.864712,8.410
34284,,7.126281,-85.026414,8.450
34285,,7.126504,47.790919,8.410
34286,,7.126616,14.342478,8.450
34287,,7.127807,-43.978438,8.190
34288,,7.127833,-16.706772,9.490
34289,,7.127948,-10.668528,10.790
34290,,7.128254,33.195653,7.450
34291,,7.128519,-76.049215,7.670
34292,,7.129077,-32.393279,8.520
34293,,7.129491,-30.501681,8.820
34294,,7.129608,10.874558,9.180
34295,,7.129714,-67.936861,8.000
34296,,7.129716,-3.371024,7.870
34297,,7.130414,7.471214,5.740
34298,,7.130442,-35.814471,7.340
34299,,7.130534,58.528342,8.800
34300,,7.130713,-34.943794,9.060
34301,,7.130750,67.201310,11.170
34302,,7.130807,-29.432654,7.960
34303,,7.131238,-15.700543,7.220
34304,,7.131302,-29.763515,9.670
34305,,7.131366,-11.914004,8.770
34306,,7.131403,-34.833399,8.030
34307,,7.131477,-40.455155,8.850
34308,,7.132130,-48.917122,8.860
34309,,7.132192,-56.664259,8.890
34310,,7.132462,-27.752109,8.370
34311,,7.132460,-4.677852,6.920
34312,,7.132557,40.782551,8.300
34313,,7.132685,41.258599,8.680
34314,,7.132814,41.642890,8.490
34315,,7.133181,2.686068,9.120
34316,,7.133383,4.222003,8.540
34317,,7.133401,15.528596,7.800
34318,,7.133823,55.419937,8.870
34319,,7.133832,-27.756778,8.120
34320,,7.133976,-51.957482,9.130
34321,,7.134091,35.861517,8.560
34322,,7.134172,-28.576857,8.540
34323,,7.134288,-11.923277,6.650
34324,,7.134515,29.834492,8.320
34325,,7.135044,-39.286712,8.920
34326,,7.135085,44.039983,6.840
34327,,7.135178,-57.331123,6.870
34328,,7.135572,21.912853,8.230
34329,,7.135724,8.607822,8.860
34330,,7.135728,39.602066,8.640
34331,,7.135920,-0.065721,10.370
34332,,7.135919,-9.968703,8.850
34333,,7.135953,55.851650,8.330
34334,,7.136381,-31.427968,7.060
34335,,7.136466,63.645226,9.860
34336,,7.136662,15.520848,7.700
34337,,7.136822,-54.629435,9.420
34338,,7.137020,33.832388,6.310
34339,,7.137442,-23.431700,8.630
34340,,7.137449,42.523909,8.600
34341,,7.137566,-22.440350,9.130
34342,,7.137921,-33.373599,7.920
34343,,7.138733,20.865764,7.960
34344,,7.138996,52.685783,9.120
34345,,7.139159,61.242152,8.270
34346,,7.139180,-41.910709,9.420
34347,,7.139403,16.135001,6.990
34348,,7.139414,-20.859373,6.820
34349,,7.139441,33.267983,7.510
34350,,7.139455,15.930675,5.470
34351,,7.139543,7.881392,7.020
34352,,7.139611,-50.100308,7.690
34353,,7.139777,-11.852378,7.720
34354,Wezen,7.139857,-26.393200,1.830
34355,,7.140147,-47.520919,9.270
34356,,7.140199,-54.483079,8.450
34357,,7.140868,-58.372447,8.010
34358,,7.141019,-18.603040,7.180
34359,,7.141126,-75.302209,7.970
34360,,7.141673,10.925278,7.140
34361,,7.141730,51.372953,7.960
34362,,7.141931,21.985954,9.610
34363,,7.142255,-6.636678,9.490
34364,,7.142287,-12.885931,7.200
34365,,7.142331,-23.159021,8.970
34366,,7.142638,31.466091,9.880
34367,,7.142702,-28.613181,7.540
34368,,7.142898,-18.005301,8.620
34369,,7.142953,-17.669233,9.440
34370,,7.143135,0.459832,7.840
34371,,7.143234,-36.217363,9.440
34372,,7.143401,37.445096,6.190
34373,,7.143573,4.176147,7.020
34374,,7.143669,18.301374,7.440
34375,,7.143817,-17.634742,9.480
34376,,7.144035,75.047392,8.770
34377,,7.144104,39.330444,9.910
34378,,7.144145,-29.998825,8.910
34379,,7.144170,-38.641185,9.060
34380,,7.144676,34.653964,9.580
34381,,7.144892,66.053400,8.140
34382,,7.145098,-70.497087,5.680
34383,,7.145170,10.024020,7.830
34384,,7.145402,-38.028326,9.480
34385,,7.145506,17.657307,7.430
34386,,7.145666,-34.060120,8.910
34387,,7.145685,-23.775151,8.050
34388,,7.145769,-18.270861,8.680
34389,,7.145788,-70.498932,3.780
34390,,7.145814,64.368706,8.400
34391,,7.146159,16.495043,7.880
34392,,7.146168,-25.617674,7.740
34393,,7.146317,16.908829,7.700
34394,,7.146510,-15.934148,8.470
34395,,7.146923,-8.676844,8.420
34396,,7.146962,26.629438,8.900
34397,,7.146988,-52.154541,8.450
34398,,7.147026,-19.923266,8.250
34399,,7.147057,-24.043787,6.650
34400,,7.147131,-8.673696,9.690
34401,,7.147270,53.084170,9.100
34402,,7.147437,23.271551,8.960
34403,,7.147503,-2.703588,8.650
34404,,7.147519,-39.655657,4.830
34405,,7.147783,15.513555,8.690
34406,,7.147896,33.933913,6.540
34407,,7.148146,48.869380,9.170
34408,,7.148290,-11.501510,8.750
34409,,7.148399,26.768067,9.040
34410,,7.148461,40.001341,10.100
34411,,7.148604,-46.562033,10.110
34412,,7.148654,65.964981,8.680
34413,,7.148989,-12.319241,8.650
34414,,7.149337,14.565801,9.310
34415,,7.149481,-45.331302,7.010
34416,,7.150163,-28.159151,7.740
34417,,7.150346,-7.938983,8.220
34418,,7.150510,-63.761371,8.160
34419,,7.151305,-59.088826,9.420
34420,,7.151378,15.421586,8.000
34421,,7.151471,12.166754,9.150
34422,,7.151522,71.959411,7.020
34423,,7.151575,44.259830,7.570
34424,,7.151909,28.953316,8.540
34425,,7.151994,-7.772375,8.520
34426,,7.152053,-60.575189,7.960
34427,,7.152164,2.253092,7.230
34428,,7.152406,-31.933555,7.490
34429,,7.152422,19.546620,7.310
34430,,7.152901,30.386971,7.840
34431,,7.153327,27.614355,11.420
34432,,7.153676,38.611861,7.960
34433,,7.153749,19.042634,8.390
34434,,7.153799,-6.456635,9.190
34435,,7.154118,-7.070477,8.810
34436,,7.154281,-13.786095,10.560
34437,,7.154285,-27.362814,8.530
34438,,7.154618,34.803125,8.930
34439,,7.155187,-49.609066,9.290
34440,,7.155264,30.147685,7.280
34441,,7.155342,25.261914,8.490
34442,,7.155445,-51.824887,8.180
34443,,7.155540,-60.535546,9.130
34444,,7.155542,-20.846342,8.980
34445,,7.155625,-10.346565,6.230
34446,,7.155874,-53.544918,8.900
34447,,7.155874,-22.493076,9.080
34448,,7.156059,-10.657250,8.950
34449,,7.156132,16.549506,7.770
34450,,7.156256,-0.806554,10.960
34451,,7.156462,-15.026447,8.660
34452,,7.156934,-60.380351,6.820
34453,,7.156968,-49.836231,8.470
34454,,7.157077,18.549870,8.400
34455,,7.157144,36.563247,6.740
34456,,7.157458,-7.703559,9.630
34457,,7.157498,52.038749,9.060
34458,,7.157740,11.927638,9.980
34459,,7.157919,5.920652,9.310
34460,,7.158272,1.920110,7.610
34461,,7.158323,-35.286899,8.540
34462,,7.158407,-16.936423,9.100
34463,,7.158481,-79.431980,7.810
34464,,7.158510,-35.990863,7.260
34465,,7.158642,34.089796,9.050
34466,,7.158803,13.653685,8.560
34467,,7.158834,-28.991380,8.580
34468,,7.158975,-6.043919,6.960
34469,,7.159011,-68.572304,11.060
34470,,7.159256,-28.444613,8.260
34471,,7.159268,-16.234509,6.000
34472,,7.159490,57.965821,8.100
34473,,7.159508,-24.307836,7.960
34474,,7.159526,69.359536,7.980
